province_state,country_region,date,latitude,longitude,location_geom,confirmed,deaths,recovered,active,fips,admin2,combined_key
,Malaysia,2020-03-14,4.2105,101.9758,POINT(101.9758 4.2105),238,0,35,,,,
,Singapore,2020-03-14,1.3521,103.8198,POINT(103.8198 1.3521),212,0,105,,,,
,Philippines,2020-03-14,12.8797,121.774,POINT(121.774 12.8797),111,8,2,,,,
,Thailand,2020-03-14,15.87,100.9925,POINT(100.9925 15.87),82,1,35,,,,
,Vietnam,2020-03-14,14.0583,108.2772,POINT(108.2772 14.0583),53,0,16,,,,
,Cambodia,2020-03-14,12.5657,104.991,POINT(104.991 12.5657),7,0,1,,,,
,Malaysia,2020-04-06,4.210484,101.975766,POINT(101.975766 4.210484),3793,62,1241,2490,,,Malaysia
,Malaysia,2020-04-12,4.210484,101.975766,POINT(101.975766 4.210484),4683,76,2108,2499,,,Malaysia
,Malaysia,2020-03-07,2.5,112.5,POINT(112.5 2.5),93,0,23,,,,
,Thailand,2020-03-07,15.0,101.0,POINT(101 15),50,1,31,,,,
,Vietnam,2020-03-07,16.0,108.0,POINT(108 16),18,0,16,,,,
,Philippines,2020-03-07,13.0,122.0,POINT(122 13),6,1,1,,,,
,Malaysia,2020-03-17,4.2105,101.9758,POINT(101.9758 4.2105),673,2,49,,,,
,Singapore,2020-03-17,1.3521,103.8198,POINT(103.8198 1.3521),266,0,114,,,,
,Philippines,2020-03-17,12.8797,121.774,POINT(121.774 12.8797),187,12,5,,,,
,Thailand,2020-03-17,15.87,100.9925,POINT(100.9925 15.87),177,1,41,,,,
,Vietnam,2020-03-17,14.0583,108.2772,POINT(108.2772 14.0583),66,0,16,,,,
,Cambodia,2020-03-17,12.5657,104.991,POINT(104.991 12.5657),33,0,1,,,,
,Malaysia,2020-03-30,4.210484,101.975766,POINT(101.975766 4.210484),2626,37,479,2110,,,Malaysia
,Malaysia,2020-03-18,4.2105,101.9758,POINT(101.9758 4.2105),790,2,60,,,,
,Singapore,2020-03-18,1.3521,103.8198,POINT(103.8198 1.3521),313,0,114,,,,
,Thailand,2020-03-18,15.87,100.9925,POINT(100.9925 15.87),212,1,42,,,,
,Philippines,2020-03-18,12.8797,121.774,POINT(121.774 12.8797),202,19,5,,,,
